y_act,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T2,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T3,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T4,T40,T41,T42,T43,T44,T45,T46,T47,T5,T6,T7,T8,T9,TInf,vf,vsa,gsa,pld,lcd
15.48049856,0.001328655,0.003892398,0.004175439,0.004678363,0.005031579,0.005146199,0.005288889,0.005235088,0.00568655,0.006060819,0.003111111,0.001847953,0.002959064,0.003031579,0.002991813,0.003267836,0.003221053,0.003115789,0.003330994,0.00342924,0.003651462,0.003691228,0.002821053,0.00394386,0.004173099,0.00434386,0.00431345,0.00500117,0.005452632,0.005688889,0.006540351,0.007274854,0.008325146,0.003412865,0.00914152,0.011443275,0.013214035,0.017026901,0.022516959,0.032900585,0.055122807,0.531059649,0.003265497,0.003237427,0.004175439,0.005447953,0.003735673,0.142247953,0.95,606,4610,41.6,45.8
31.92068203,0.008164504,0.00425372,0.004550491,0.004768123,0.005038514,0.005150628,0.005374855,0.006403661,0.007016988,0.007913897,0.004444972,0.002354384,0.004161391,0.004405403,0.004708769,0.00456368,0.004867047,0.00497916,0.004840667,0.00497916,0.005091274,0.005493563,0.003455735,0.005876068,0.006304738,0.006720217,0.007168672,0.007861137,0.00885697,0.009035032,0.009912156,0.01112562,0.013170043,0.00539464,0.014805582,0.016948929,0.020747599,0.025594861,0.033271341,0.046447979,0.074159808,0.269857286,0.006337712,0.005566107,0.005869473,0.006047536,0.004266909,0.261672998,0.9,860,2845,25,31.2
16.34267257,7.15E-04,0.00211573,0.002275555,0.00250622,0.002859562,0.00314811,0.003357177,0.003624991,0.003859977,0.003923906,0.002031066,0.001030652,0.002059576,0.002092404,0.002333437,0.002348124,0.002360218,0.002469936,0.002667772,0.002695418,0.002810319,0.002997788,0.001599972,0.003158477,0.003275105,0.003619808,0.003868616,0.00411656,0.004470765,0.004886309,0.005345912,0.005912641,0.006359285,0.00222372,0.007151496,0.008163142,0.009855553,0.011925496,0.015267987,0.021927915,0.037335856,0.690320686,0.002214217,0.001843597,0.002235814,0.002607298,0.001964545,0.082065969,0.976914,390.803511,5908.628831,58.33743,65.37503
35.10237942,0.010594202,0.003588293,0.003714269,0.003937776,0.00433196,0.00501467,0.005482002,0.005965588,0.006067182,0.006538577,0.003437934,0.006571087,0.003242874,0.003470444,0.003738652,0.004010923,0.004096262,0.004303514,0.004673315,0.004685506,0.004843993,0.005030925,0.004937459,0.005238177,0.005453555,0.005949333,0.006156584,0.006668617,0.00757077,0.007867424,0.008757386,0.010045595,0.010996513,0.005059371,0.012829266,0.014836759,0.017839872,0.022106812,0.028519413,0.040109234,0.063532701,0.358914653,0.00442949,0.003580166,0.003998732,0.004352279,0.003222555,0.229687335,0.91,792,3170,29,34.6
17.23386947,0.003288269,0.003803253,0.004360199,0.005542755,0.005565643,0.005172729,0.005226135,0.005409241,0.006164551,0.006484985,0.003406525,0.006389618,0.003425598,0.003566742,0.003650665,0.003231049,0.003673553,0.003997803,0.004405975,0.003955841,0.004112244,0.004261017,0.003471375,0.004528046,0.004829407,0.005001068,0.005916595,0.006088257,0.006816864,0.007713318,0.007701874,0.008663177,0.010246277,0.003509521,0.01234436,0.013145447,0.016712189,0.020683289,0.027606964,0.039302826,0.066326141,0.42206192,0.004043579,0.004219055,0.004199982,0.005401611,0.003795624,0.186576843,0.93,747,3606,34.1,37.8
21.65911945,0.004048752,0.004024404,0.004570498,0.004535715,0.004681804,0.004987895,0.00477224,0.004942677,0.005683557,0.006107911,0.003252219,0.006434872,0.003513092,0.003481788,0.003067869,0.003321785,0.003321785,0.003440048,0.003773966,0.003707878,0.004100927,0.004306147,0.003287002,0.004511367,0.004615716,0.005064418,0.005339205,0.005906169,0.006226174,0.007033141,0.007749673,0.008316637,0.009878398,0.00368353,0.011488855,0.012904527,0.016292401,0.019746362,0.027109942,0.037826613,0.063847845,0.447401007,0.003982664,0.004167014,0.00475137,0.005467902,0.004045274,0.17527896,0.94,727,4143,35.3,39.7
14.43499276,0.001213073,0.003732199,0.003740848,0.004264134,0.004471719,0.005183129,0.005782097,0.005853454,0.006078337,0.005911837,0.003319192,0.001239021,0.003087821,0.003191614,0.00341001,0.003498666,0.003505153,0.003282432,0.003401361,0.003479205,0.00377977,0.004175478,0.001846638,0.004357115,0.004212238,0.004203589,0.005135557,0.004919323,0.005187453,0.005511804,0.006307545,0.007111936,0.008417989,0.00292997,0.009442938,0.010405179,0.012770779,0.017731187,0.021136872,0.031948571,0.054162288,0.542435919,0.003051061,0.002765633,0.003401361,0.005079336,0.003693276,0.136233896,0.96,592,4741,42.2,46.6
85.37642091,0.002547571,0.005813532,0.005777311,0.006308558,0.006821694,0.007594417,0.007823819,0.009157974,0.0091459,0.009296822,0.004588042,0.005704868,0.004763112,0.00498044,0.005336617,0.005523761,0.005777311,0.005559983,0.005686757,0.005873901,0.006586255,0.006489665,0.005421134,0.006990727,0.007932483,0.008143775,0.009206269,0.009628852,0.010329132,0.011295035,0.012327345,0.014494591,0.016366029,0.005735053,0.018581571,0.020881629,0.024606394,0.030226746,0.036112721,0.04166063,0.053734425,0.303342026,0.006018787,0.005215879,0.005674684,0.006664735,0.004702743,0.187548295,0.95,951,7062,45.9,49.3
81.63970155,0.002469212,0.004876847,0.005738916,0.006096059,0.006810345,0.007204433,0.007770936,0.008916256,0.009211823,0.009224138,0.004938424,0.004064039,0.004913793,0.004975369,0.005203202,0.005357143,0.005240148,0.00533867,0.005769704,0.006034483,0.00614532,0.00648399,0.004359606,0.006816502,0.007770936,0.007887931,0.008583744,0.009692118,0.010024631,0.010972906,0.012062808,0.013608374,0.015683498,0.004969212,0.017635468,0.020357143,0.024187192,0.029033251,0.037764778,0.04533867,0.056490148,0.315258621,0.005178571,0.004618227,0.005689655,0.006631773,0.004692118,0.181908867,0.95,919,6617,45.1,49.5
133.456624,0.022794223,0.007865008,0.008465608,0.008122408,0.008780209,0.008665809,0.00966681,0.008723009,0.009352209,0.00998141,0.005262405,0.023709424,0.005291005,0.005405405,0.005777206,0.006435006,0.006034606,0.006749607,0.005920206,0.005720006,0.006149006,0.006034606,0.016816817,0.006549407,0.006034606,0.007035607,0.008665809,0.008036608,0.00980981,0.008208208,0.006549407,0.008522809,0.008379808,0.018132418,0.01043901,0.013327613,0.013642214,0.015672816,0.020878021,0.025168025,0.035607036,0.12967253,0.016359216,0.011068211,0.012126412,0.011583012,0.007579008,0.373230373,0.88,1353,3766,29.2,30.5
89.91403802,0.022027484,0.007183275,0.008156966,0.009038801,0.009442975,0.008450911,0.009093915,0.009442975,0.009718548,0.010508524,0.005731922,0.018353175,0.005915638,0.004813345,0.005493092,0.004574515,0.004170341,0.005070547,0.005419606,0.005731922,0.005070547,0.005548207,0.012786596,0.00582378,0.006466784,0.005989124,0.007036302,0.006907701,0.006870958,0.006944444,0.006852587,0.007863022,0.008873457,0.011427102,0.012014991,0.011665932,0.012602881,0.016773222,0.020447531,0.027116402,0.037771899,0.196593915,0.010747354,0.007936508,0.0111699,0.010398295,0.007660935,0.344301146,0.88,1271,3540,33.2,34.9
74.25099953,0.004924321,0.005745041,0.006876771,0.007023637,0.007239616,0.00771477,0.007878914,0.00843182,0.008682355,0.008526851,0.004958878,0.007688852,0.00493296,0.004907043,0.005157578,0.005304444,0.005606815,0.005848711,0.005304444,0.005865989,0.006228834,0.006444813,0.006591679,0.006202917,0.00688541,0.007248255,0.008786025,0.009192066,0.010332435,0.011274103,0.011533278,0.012068906,0.014436036,0.007498791,0.015775105,0.018962955,0.018600111,0.020431612,0.024595687,0.029796461,0.041709862,0.318214804,0.006928606,0.006367061,0.007084111,0.007533347,0.00575368,0.224903241,0.93,1009,5219,46.1,47.7
68.21643101,0.003109626,0.005436873,0.005702086,0.006331967,0.006855764,0.007392821,0.008546499,0.008897906,0.008480195,0.008798451,0.004661124,0.00478047,0.004482105,0.004641233,0.005005901,0.004866664,0.004714166,0.005019162,0.005363939,0.005761759,0.005536328,0.005801541,0.004694275,0.006239143,0.006451313,0.006928697,0.007870205,0.008698996,0.009454854,0.00956757,0.01076766,0.011443954,0.01336675,0.005536328,0.014991182,0.017769291,0.020235775,0.024651576,0.032435586,0.036712151,0.047824588,0.354053122,0.005569479,0.004846773,0.005808171,0.006192731,0.004899816,0.192803437,0.94,913,5381,51,52.6
126.6081362,0.022898777,0.006310174,0.007058288,0.006505334,0.008034088,0.007416081,0.007058288,0.006310174,0.008164195,0.008326828,0.004228467,0.019418423,0.003870674,0.004553734,0.004000781,0.003252667,0.003870674,0.003642987,0.005106687,0.005171741,0.006017434,0.004293521,0.017401769,0.004293521,0.004748894,0.003870674,0.005822274,0.006407754,0.005887328,0.008294301,0.010376008,0.008034088,0.008261775,0.016425969,0.011612022,0.010343482,0.017499349,0.016328389,0.02042675,0.026476711,0.034998699,0.135343482,0.013238355,0.009335155,0.009725475,0.009367681,0.006798074,0.423172001,0.83,1167,2253,29.7,30.8
121.3018784,0.014146091,0.010177837,0.011243386,0.01164756,0.01271311,0.011978248,0.013447972,0.013411229,0.013852146,0.01829806,0.009185773,0.012198707,0.008377425,0.007348618,0.009075544,0.008855085,0.008414168,0.008928571,0.008855085,0.010471781,0.010177837,0.011316872,0.011316872,0.011574074,0.011353616,0.010949442,0.012345679,0.014366549,0.013264256,0.015468842,0.014403292,0.014807466,0.014476778,0.010288066,0.014513521,0.013741917,0.013888889,0.017195767,0.007458848,8.82E-04,8.45E-04,3.31E-04,0.010802469,0.007385362,0.009589947,0.012749853,0.010177837,0.48170194,0.81,1835,3404,13.1,14.9
139.7452963,0.008857143,0.008952381,0.011119048,0.011619048,0.011904762,0.013190476,0.013928571,0.012380952,0.014166667,0.014571429,0.007809524,0.007166667,0.00702381,0.00897619,0.00797619,0.008571429,0.008380952,0.009309524,0.009595238,0.009714286,0.009666667,0.010690476,0.006428571,0.011214286,0.011571429,0.012714286,0.012547619,0.013619048,0.015261905,0.018071429,0.017547619,0.022238095,0.022190476,0.008952381,0.02602381,0.029190476,0.031595238,0.02947619,0.032857143,0.033142857,0.032047619,0.017261905,0.009166667,0.00797619,0.009190476,0.011714286,0.00947619,0.322952381,0.91,1548,5993,18.2,20.8
139.8978938,0.008750404,0.009359128,0.009815671,0.010177101,0.010576576,0.010918983,0.011451616,0.012269589,0.011679887,0.01213643,0.006068215,0.009986874,0.006125283,0.005935057,0.006277464,0.007551979,0.007951454,0.007666115,0.007951454,0.007571002,0.007590025,0.008978676,0.007247617,0.008788449,0.009073789,0.009948829,0.009777626,0.009568377,0.011832068,0.013810421,0.014038692,0.016549678,0.016340429,0.007951454,0.019536229,0.021229242,0.02819152,0.032205292,0.040708402,0.04846963,0.050505051,0.086020278,0.008712359,0.007551979,0.008674314,0.010120033,0.007571002,0.298788259,0.92,1346,5538,23.9,25.6
142.16997,0.002530044,0.008398341,0.008169935,0.010910816,0.012158268,0.010910816,0.010752688,0.013247593,0.013071895,0.014407197,0.005833158,0.006606227,0.007432005,0.006834633,0.007168459,0.00708061,0.007238738,0.007642842,0.008240214,0.007273877,0.008134795,0.008697027,0.00634268,0.010243165,0.011420339,0.011455478,0.01129735,0.012861058,0.012228547,0.013598988,0.014635603,0.015391103,0.020960714,0.006412959,0.021382388,0.023596177,0.028410289,0.035772015,0.044504182,0.06304027,0.072984749,0.068732869,0.008222644,0.006518378,0.006817064,0.009434957,0.008082086,0.262913768,0.93,1305,5959,21.3,22.6
144.039321,0.002310885,0.007085927,0.006968025,0.007981985,0.008736559,0.009184588,0.010752688,0.011059234,0.010776269,0.011200717,0.005895114,0.006001226,0.005871534,0.005883324,0.006531786,0.006956235,0.006555367,0.006543577,0.006791171,0.006826542,0.007699019,0.009514714,0.004574609,0.008665818,0.008925203,0.009031315,0.010080645,0.011023863,0.012768817,0.012250047,0.013712035,0.01444303,0.017249104,0.00621345,0.019194492,0.021434635,0.024464724,0.032470289,0.039391153,0.055201849,0.079183173,0.158024429,0.007050556,0.006472835,0.007463214,0.009667987,0.006909074,0.237007168,0.93,1167,6257,25.1,26.7
133.0093272,0.025069287,0.007590073,0.008062484,0.009101789,0.008692366,0.008440413,0.009227765,0.008093978,0.009227765,0.009038801,0.004472159,0.021038045,0.004818594,0.004472159,0.00633031,0.00547997,0.005605946,0.005228017,0.004409171,0.00563744,0.005857899,0.005700428,0.018109095,0.006235828,0.006802721,0.006834215,0.007275132,0.006361804,0.007054674,0.007779038,0.008156966,0.009511212,0.009448224,0.017888637,0.010865457,0.012597632,0.014581759,0.017132779,0.021352986,0.027273873,0.036218191,0.124496095,0.015526581,0.012219703,0.012314185,0.012566138,0.007999496,0.381802721,0.88,1419,3981,28.3,29.4
39.55118036,0.001995205,0.004241906,0.004415159,0.005611164,0.00628741,0.006158867,0.007013955,0.007438705,0.0077908,0.007863454,0.004387215,0.002939714,0.00459959,0.004437514,0.004610767,0.004616356,0.005281424,0.004985218,0.005164059,0.005616753,0.005650286,0.006315354,0.003085023,0.006550084,0.006600383,0.007539303,0.007952875,0.008768841,0.00957363,0.010719336,0.010596382,0.012837494,0.014435894,0.003928933,0.015687787,0.01778359,0.022450246,0.027346042,0.034762392,0.048443796,0.073995831,0.358281777,0.004197196,0.003973643,0.004521346,0.005080227,0.003979232,0.159487842,0.96,819,7195,34,37
7.896498519,0.001267999,0.003119851,0.003320438,0.004194427,0.004609929,0.00500394,0.004695895,0.005218855,0.006357905,0.006673114,0.003632065,0.001217852,0.003270292,0.003818325,0.003177162,0.003775342,0.003470879,0.003524608,0.003990257,0.004373522,0.004262483,0.004362777,0.001346801,0.004806935,0.005337059,0.005630776,0.006605058,0.007024142,0.006981159,0.007941113,0.008227667,0.00939179,0.011132603,0.00229601,0.014216634,0.016279819,0.017698259,0.02529909,0.03173938,0.043942976,0.072637725,0.488025647,0.001794541,0.001701411,0.002199298,0.002715094,0.002607637,0.115083459,0.97,622,8020,41,44.6
