y_act,vf,vsa,gsa,pld,lcd,TInf
56.34584563,0.95,948,6471,38.1,41.4,0.185252059
14.32564712,0.96,799,7553,45,48.7,0.143302272
136.6115622,0.89,1405,4166,23.8,24.5,0.340499344
124.5429563,0.83,1628,3224,14.2,16.2,0.475325741
143.1449529,0.93,1188,5527,26.8,30.7,0.263408601
87.98949259,0.94,1116,6036,32.8,34.5,0.241185296
82.17906438,0.94,1060,7096,32,34.1,0.200499412
63.64304738,0.95,907,6968,39.5,41,0.17791917
61.87701512,0.96,871,7351,40.8,43.3,0.171867691
49.22056015,0.96,751,6874,45.5,47.9,0.149121309
128.58515,0.84,1680,3636,15.4,17.8,0.481481481
72.71918055,0.95,1036,7483,36.1,38,0.193969235
67.8997789,0.95,934,6710,37.6,39.3,0.186411628
132.3729603,0.86,1482,3309,17.7,19.7,0.432266746
132.9036436,0.88,1303,4799,24,25.5,0.349523961
68.7468908,0.95,980,7467,35,37.7,0.192201849
125.9465771,0.82,1608,3285,15,17.1,0.50575873
125.7907755,0.83,1575,3062,17.2,18.6,0.455313093
136.1018029,0.89,1586,5454,21.6,23.4,0.358452381
136.6926676,0.9,1500,4774,21.5,23.5,0.368183422
139.4743083,0.9,1416,5410,24,26.2,0.317901235
139.4033707,0.91,1434,5299,21.9,25.2,0.330702816
105.289062,0.73,1499,2119,10.7,12.9,0.607583774
88.27376867,0.91,1207,5058,40.4,42.2,0.288863781
128.1207473,0.86,1940,4317,10.8,13,0.502012882
77.57653094,0.91,1116,4157,46.4,47.5,0.281119708
73.4251574,0.92,1080,5058,48.4,50.1,0.240211534
99.84608751,0.69,1047,1312,21.9,23.5,0.544297138
87.32408663,0.66,1705,1651,6.8,8.6,0.722934363
104.9299928,0.69,1575,1728,7.2,9.5,0.713616558
140.4645899,0.88,1620,6673,11.8,14.8,0.354220402
147.4097375,0.95,1067,7187,17.5,22.5,0.217520661
147.985099,0.95,1006,7480,18.4,23,0.20379575
19.64852817,0.95,963,7632,19.1,24,0.192497048
147.59613,0.95,1025,7565,18.7,24.3,0.209220969
2.603040426,0.97,689,7750,24.4,29.4,0.127326965
5.816953713,0.97,620,8089,26.4,32.7,0.119733677
3.126499819,0.97,593,9494,28,33.4,0.1104563
138.1104967,0.89,1780,6407,11.7,14.1,0.37951523
9.86047918,0.96,758,7939,23.6,27.7,0.148364108
142.6328585,0.91,1587,7163,12.9,14.1,0.323625893
7.372757262,0.97,659,8425,26.1,31.3,0.126542049
2.259038888,0.97,601,7914,26.7,32.3,0.109613435
141.7397498,0.912671,1540.33226,6655.364253,12.95256,17.10369,0.330473625
10.99872118,0.96,828,8462,21.3,26.6,0.158925693
26.52835226,0.97,771,8306,26.4,28.6,0.14890003
6.569166408,0.98,558,8982,28.3,35.7,0.103964444
2.561411687,0.98,462,7566,31.5,38.6,0.085777344
144.9109917,0.93,1280,6833,16.2,20.2,0.268635454
48.16526917,0.4,243,187,3.5,5.3,0.91576749
24.01439467,0.97,695,7804,25.4,30.5,0.136860455
7.654238087,0.97,639,8800,26.9,31.3,0.12200731
79.39333048,0.65,1245,1161,4.9,8.6,0.780912365
37.55704556,0.96,841,7318,22.7,28.9,0.164967202
142.2996112,0.92,1376,6680,14.8,18.2,0.287454284
144.6071896,0.92,1266,6739,17.6,21.2,0.261811391
144.8694532,0.93,1398,7766,15.4,19.2,0.275785955
94.66966257,0.64,1490,1791,8.1,8.8,0.72867893
130.7595352,0.86,1971,4601,9.4,12.6,0.495240125
6.545704031,0.97,698,8986,26.2,31.9,0.127715079
129.8609695,0.85,1987,5134,9.2,12.3,0.477108037
145.0573949,0.94,1161,6958,17.7,22,0.23844862
146.2145329,0.94,1145,8074,18.6,21.7,0.224614567
4.112207187,0.95,878,7307,22.4,26.9,0.162530525
14.74648862,0.96,786,7604,24.8,29.2,0.150746705
6.806446455,0.97,743,9175,26,30.7,0.137080577
127.4018686,0.84,2080,5115,8.7,11.2,0.513471074
128.4065063,0.85,2008,4937,9.1,11.8,0.48968895
127.8712958,0.84,1809,4674,10.4,12.7,0.480555556
131.3014808,0.86,2017,5695,9.4,12.2,0.462687747
12.01093544,0.94,1024,6684,19.4,23.7,0.199309636
133.4392882,0.87,1871,5537,12.7,14.7,0.413194444
148.6345651,0.96,1021,7359,20.4,24.8,0.201520468
124.4851321,0.83,2196,4432,9.3,13.7,0.497777778
130.0334208,0.85,1983,5151,9.3,12.1,0.477867045
88.90573425,0.59,402,454,3.9,4.9,0.885841837
135.0044136,0.87,1851,5752,10.5,13.3,0.438141026
140.7994905,0.91,1540,6453,13.4,16.8,0.334910394
123.6080918,0.84,1999,4509,8.7,14.8,0.478383459
11.93522169,0.95,1086,8674,19,23.1,0.205998213
124.2844443,0.84,2201,5620,8.1,9.9,0.542380952
18.73859917,0.95,929,8260,22.1,25.9,0.179144305
7.102441876,0.97,742,9164,25.9,30.7,0.136607987
131.1023151,0.86,1852,4526,9.9,16.4,0.429780801
144.6288107,0.93,1284,6458,16.4,20.2,0.263101604
145.6301265,0.94,1251,7930,16.9,21,0.248389256
134.8839465,0.88,1771,5378,10.7,17.6,0.38629907
69.72491059,0.95,999,8385,20.3,24.7,0.191308885
4.703591633,0.96,702,7159,26,31.3,0.133089694
68.81786807,0.54,827,618,3.7,7.1,0.848915187
133.3769917,0.87,1732,5408,11.7,15.1,0.418309438
139.9187755,0.9,1540,6422,12.9,16.9,0.338483245
144.0293821,0.92,1427,7008,14.7,18,0.296931217
14.06954554,0.96,789,8440,24.5,29.8,0.147823509
140.7123398,0.91,1614,6283,12.7,15.8,0.345098855
139.2459159,0.9,1603,6204,12.6,16.5,0.357262331
127.6298032,0.84,1804,4351,10.8,18.2,0.464507429
132.419127,0.86,1900,4556,7.4,19.7,0.474073886
96.26257543,0.67,1455,1672,4.7,10.5,0.714015152
135.2422393,0.88,1617,4839,11.6,20.2,0.382986006
140.9726158,0.91,1429,5814,12.7,24.8,0.304278716
142.2181774,0.92,1330,6750,15.5,27.5,0.265122549
143.941683,0.93,1208,6680,16.2,30.3,0.243441215
139.3932546,0.91,1492,6127,11,24,0.297864938
142.4317644,0.92,1437,6533,12.7,26.8,0.280352304
143.284634,0.93,1272,5905,15.6,27.7,0.270208429
144.4572578,0.93,1298,7438,14,31.3,0.237095282
132.9276017,0.86,1642,4335,9.3,20.9,0.379791556
134.7850212,0.88,1646,4721,10.7,21.1,0.351373008
139.290104,0.9,1344,4906,14.4,27,0.293958653
139.9543726,0.91,1293,5489,13.8,29.3,0.279756528
120.9608154,0.8,1927,3449,7.6,15.7,0.495657568
97.3103741,0.69,1446,1770,4.5,10.6,0.710227273
117.0407637,0.8,1815,3113,6.5,13.2,0.586694102
137.8654044,0.89,1805,5823,9.5,20.2,0.367909352
127.6382499,0.86,1795,4167,8.7,16.6,0.469132966
81.4319144,0.6,1208,1099,4.2,9.4,0.77979066
60.54238044,0.52,654,627,3.4,7.1,0.879611331
136.1072582,0.9,1787,6791,8.9,22.8,0.34477721
144.3614013,0.93,1259,6530,14.2,29.4,0.258301206
144.5840758,0.94,1124,7126,17,31.4,0.220791246
134.2016672,0.86,1872,4912,9.4,19.2,0.416846604
135.9685851,0.87,1472,4730,11.6,23.7,0.340645052
136.5325674,0.89,1434,4453,12.9,22.4,0.3084862
0,0.28,8,3,0.6,4.3,0.964646465
107.2170292,0.74,2364,2957,5.7,10,0.644132653
132.5309962,0.86,1796,4931,8.7,19,0.39524844
135.6018613,0.87,2051,5782,7.5,18.5,0.453300335
75.06205577,0.56,951,838,3.8,8.1,0.821770335
110.6237117,0.73,1583,2266,4.6,13.7,0.650816
113.9989897,0.78,1832,3036,5.3,13.4,0.591420118
134.5098592,0.88,1624,4715,10.2,22.3,0.347202881
128.6403653,0.87,1890,5340,10.8,17.2,0.418353659
104.3974518,0.71,1651,2055,5,10.7,0.660839161
125.6827902,0.83,1755,3467,9.4,16.6,0.485686707
134.4168508,0.88,1583,4195,10.1,21.6,0.384950665
135.3642513,0.88,1673,4795,10.3,20.3,0.360651595
72.06023526,0.54,1005,803,3.5,8.7,0.804625199
128.1255959,0.85,2057,4606,6.9,15.4,0.464873563
137.706557,0.89,1860,6186,9.1,19.2,0.382959938
136.4448385,0.9,1530,5000,11.8,21.8,0.31871345
108.6011538,0.75,1617,2615,5.4,12.9,0.638186177
27.04657431,0.21,2,1,2,4.2,0.967372134
133.5996024,0.87,1626,4116,10,21.1,0.399440138
91.084716,0.62,1346,1519,4.9,12.1,0.700922266
130.8959226,0.88,1710,4399,9.9,18.8,0.437554466
138.5047691,0.9,1514,4989,11.8,22.6,0.320005703
140.0378084,0.91,1560,6211,12,22.5,0.332284113
115.0652533,0.75,2018,2770,7.3,11.2,0.576680672
141.4457431,0.92,1376,6153,15.3,25.5,0.285402064
106.0739206,0.73,1719,2735,5.6,11,0.648838384
140.8281828,0.92,1394,5542,12.2,23.6,0.276834793
142.6999356,0.92,1442,6764,12.6,23.1,0.28820598
135.2657354,0.89,1799,6061,10.4,16,0.40034965
10.88259217,0.94,1021,6232,16.9,32.9,0.191407255
93.20919953,0.67,1824,2109,5.9,8.1,0.725105042
97.00447875,0.68,1683,1849,5.2,11.9,0.736796982
81.34505229,0.58,1144,908,4.2,9.1,0.826666667
134.1586445,0.88,1680,4667,11.1,21.4,0.387982872
136.3165948,0.89,1546,4700,12.3,23.6,0.351592593
110.3981762,0.77,1817,2429,5.4,14.3,0.669128963
128.9448045,0.86,1858,4282,8.6,18,0.521784615
132.5490408,0.86,1848,4868,9.2,19.4,0.467564103
140.5202948,0.91,1533,5855,11.9,24.7,0.37236078
142.155723,0.92,1390,6484,13.5,26.5,0.32043457
96.85018738,0.7,1418,1635,5.3,11.4,0.776624375
136.5600849,0.89,1865,5200,9.2,19.7,0.451461227
138.0803634,0.89,1854,5426,10.8,21.9,0.418695949
136.0441816,0.89,1896,5761,9.9,20.5,0.432294037
84.27895843,0.65,1230,1317,4.4,11.6,0.788307333
88.45937746,0.65,1172,1413,4,14.2,0.773545706
104.3950751,0.76,1623,2135,4.6,14.8,0.686543228
128.5127634,0.85,1821,4130,7.9,20.7,0.519799727
136.3407189,0.9,1569,5041,10.4,24.1,0.374103079
122.0041439,0.81,2131,4303,7.2,14.9,0.601521412
132.0929058,0.87,1781,4923,9.2,20.5,0.471749811
137.2479061,0.9,1599,5307,11.2,23.2,0.407041276
137.4232978,0.89,1597,5888,11.7,22.2,0.38509164
143.3253861,0.93,1389,7308,14.4,28.1,0.297212828
130.6430381,0.85,1595,3913,13.8,17.5,0.407695047
8.890029515,0.952783,779.797882,6318.87293,27.85602,32.41792,0.160081147
119.9449945,0.79,1864,4004,9.5,11.4,0.57852531
129.7032743,0.85,1655,3790,12.5,16.8,0.44039816
136.1951292,0.88,1594,4954,15.3,17.9,0.354166667
136.7106347,0.89,1378,4630,16.2,20.5,0.327493748
135.5955892,0.89,2065,7415,11,13,0.449928571
131.3544107,0.85,1983,5914,11.3,12.5,0.509636221
139.9983888,0.91,1478,5682,15.9,18.8,0.315707258
110.2770247,0.74,1829,2545,9.2,11.7,0.617670443
